Surname,#Awards,Education,#DBLP_Record
Saif,0,"Saif attended Aitchison College before enrolling at Lahore University of Management Sciences where he obtained a Bachelor of Science degree in computer science[4] in 1998.[5] He received a doctor of philosophy degree in computer science from the University of Cambridge at the age of 22[6] in 2001.[5] In 2002 he did his postdoc[6] at MIT, also in computer science.[5][7] From 2001 to 2005 he taught at MIT[4] and worked at the MIT Computer Science and Artificial Intelligence Laboratory (CSAIL) as a research scientist,[5] becoming part of the team which developed Project Oxygen.",54
Salton,7,,188
Sammet,7,,59
Sammut,0,,134
Sassenrath,0,,0
Satyanarayanan,0,"He has a bachelor's and master's degree from Indian Institute of Technology, Madras in 1975 and 1977, and his Ph.D. in computer science from CMU in 1983.[citation needed]",220
Savitch,0,,32
Schaeffer,0,,279
Schickard,0,,12
Schmidhuber,0,,475
Schneider,0,,294
Schneier,0,,169
Schneider,14,,200
Schoenebeck,6,,78
Schroeder,0,,0
Schölkopf,1,,880
Scott,0,,118
Scott,0,,"1,081"
Sedgewick,3,"Sedgewick earned his Bachelor of Science (1968) and Master of Science (1969) degrees in applied mathematics from Brown University, where he was a student of Andries van Dam.  He went on to graduate work at Stanford University where he was an advisee of Donald E. Knuth, receiving his PhD in 1975.[6] His thesis was entitled Quicksort and was named an outstanding dissertation in computer science.[7]",102
Sethi,0,,93
Shadbolt,11,"Shadbolt was born in London but adopted and raised in the Derbyshire village of Ashford-in-the-Water, living a ""bucolic existence"" until he went to university.[15] He went to Lady Manners School, then a grammar school. He obtained an undergraduate degree in philosophy and psychology at Newcastle University. His PhD degree was received from the Department of Artificial Intelligence at the University of Edinburgh.[4] His thesis resulted in a framework for understanding how human dialogue is organised and was supervised by Barry Richards[4] and Henry S. Thompson.[4]",338
Shamir,11,,294
Shannon,15,,43
Shaw,0,,262
Shaw,0,,35
Shenker,0,,370
Shekhar,2,"Shekhar received a B.Tech. in Computer Science from the IIT Kanpur in 1985. He then earned a M.S. in Computer Science (1987), a M.S. in Business Administration (1989) and a Ph.D. in Computer Science (1989) from the University of California, Berkeley. Earlier, he attended the Netarhat Residential School.[10]",379
Shneiderman,15,,514
Shortliffe,0,,123
Siewiorek,0,"Daniel P. Siewiorek received a Bachelor of Arts (B.A.) in Electrical Engineering from the University of Michigan, Ann Arbor in 1968. He then attended Stanford University, graduating with an Master of Arts (M.A.) in Electrical Engineering with a minor in Computer Science in 1969, and a Doctor of Philosophy (Ph.D.), also in Electrical Engineering, in 1972.[1]",270
Sifakis,10,,242
Simon,4,,146
Singh,0,Singh received his B.Tech. in computer science & engineering from the Indian Institute of Technology Delhi in 1986. He obtained a Ph.D. in computer science from the University of Texas at Austin in 1993 under the supervision of E. Allen Emerson and Nicholas M. Asher.[9],477
Sitaraman,0,,159
Sleator,0,,42
Sloman,0,,69
Sølvberg,0,,50
Smith,0,,17
Canfield Smith,0,,24
Spewak,0,,2
Spradling,0,,9
Sproull,0,,34
Srihari,0,,0
Srihari,4,,282
Stachowiak,0,"After graduating from East High School (Rochester, New York) in 1994,[1] Stachowiak was accepted into MIT where he completed Course 6 - Electrical Engineering and Computer Science and received both his S.B. and M.Eng. in 1998.[2]",5
Stallman,26,,15
Stamper,0,,30
Starner,0,"Starner graduated from Dallastown Area High School in York PA in 1987 with honors. He won a talent show in technological science for one of the first AI puzzle-solving PC computer simulations in 1986 before high school graduation gaining him early recognition. Starner graduated from the Massachusetts Institute of Technology with a B.S. in Brain and Cognitive Science (1991), a B.S. in Computer Science (1991), a M.S. in Media Arts and Science, and finally a Ph.D. in Media Arts and Sciences (1999) from the MIT Media Laboratory. His doctoral work was entitled ""Wearable Computing and Contextual Awareness,"" dealing with pattern recognition and how wearable computing can be utilized for purposes such as recognizing hand motions used in American Sign Language.[3][4][5]",267
Stearns,0,,103
Steele,1,,106
Sterling,0,"Sterling began his undergraduate studies in 1968 at the Polytechnic Institute of Brooklyn completing his BSEE degree in 1972 (Summa Cum Laude) from the Old Dominion University. Upon separation from the US Navy in 1977, he matriculated at the Massachusetts Institute of Technology (MIT). Thomas Sterling earned his SMEE from MIT in 1981, his EE in 1983, and his Ph.D in 1984 as a Hertz Fellow under the supervision of Prof. Robert H. Halstead.",133
Stepanov,0,,47
Stevens,0,,62
Stockmeyer,0,,88
Stolfo,0,,180
Stonebraker,0,,431
Storaasli,0,"Storaasli received a B.A. in Physics, Mathematics & French (Concordia College, 1964), M.A. in Mathematics (USD,1966), Ph.D in Engineering Mechanics (NCSU, 1970) and post-doc fellowships: NTNU (1984–85), University of Edinburgh (2008).",3
Strachey,0,,24
Strassen,3,,21
Stroustrup,6,,78
Sudan,0,,354
Sussman,0,"Sussman attended the Massachusetts Institute of Technology as an undergraduate and received his SB in mathematics in 1968. He continued his studies at MIT and obtained a PhD in 1973, also in mathematics, under the supervision of Seymour Papert. His doctoral thesis was titled ""A Computational Model of Skill Acquisition"" focusing on artificial intelligence and machine learning, using a computational performance model named HACKER.[2]",39
Sutherland,0,,4
Sutherland,12,,52
Sweeney,0,"Sweeney graduated from Dana Hall Schools in Wellesley, Massachusetts, receiving her high school diploma in 1977. She delivered the valedictory at the graduation ceremony.[10]",49
Szegedy,0,,119
Tabriz,0,"Tabriz initially enrolled at the University of Illinois at Urbana–Champaign to study computer engineering, but soon became interested in computer science instead.[4][5] She completed a bachelor of science and master of science degree at the university[4][6] and did research in wireless security and attacks on privacy-enhancing technologies, co-authoring papers with her advisor Nikita Borisov.[5][7][8] She was an active member of a student club interested in computer security, which she joined because her own website was hacked.[4]",8
Tamassia,4,,307
Tanenbaum,22,,219
Tate,7,,63
Thalheim,0,,386
Tardos,1,,240
Tardos,4,,152
Tarjan,8,,350
Taylor,7,,119
Tchou,0,,0
Teevan,0,,148
Teng,0,,282
Tesler,0,,11
Tevanian,0,,0
Thacker,1,,14
Thalmann,3,,593
Thompson,2,,177
Thompson,0,"Thompson earned his Doctor of Philosophy (D.Phil.) from the University of Oxford in 1984 with a dissertation titled ""Recursion theories on the continuous functionals""[8] The faculty adviser was Robin Oliver Gandy.[9]",313
Thrun,1,,334
Tichy,0,,206
Toda,0,,41
Toh,0,,87
Torvalds,0,,3
Torres,0,,6
Toussaint,11,,213
Townsend,0,,42
Tozer,0,,3
Traub,0,,117
Tucker,0,,121
Tukey,0,,12
Turing,0,,100
Turner,0,,362
Turoff,5,,138
Ullman,0,,343
Valiant,3,"Valiant was educated at King's College, Cambridge,[14][6] Imperial College London,[14][6] and the University of Warwick where he received a PhD in computer science in 1974.[15][1]",121
Vapnik,6,,86
Vardi,3,Vardi was an undergraduate student at Bar-Ilan University and received his Master of Science degree from the Weizmann Institute of Science.[4] His PhD was supervised by Catriel Beeri and awarded by the Hebrew University of Jerusalem in 1981.[3],777
Vaughan,7,,0
Vauquois,0,,12
Vazirani,4,,114
Veloso,9,"Manuela Veloso received her Licenciatura and Master of Science degree in electrical engineering from Lisbon's Instituto Superior Técnico in 1980 and 1984 respectively. She then attended Boston University, and received a Master of Arts in computer science in 1986.[citation needed] She moved to Carnegie Mellon University and received her Ph.D. in computer science there in 1992. Her thesis Learning by Analogical Reasoning in General Purpose Problem Solving was supervised by Jaime Carbonell.[3]",627
Vernadat,0,,97
Veryard,0,,10
Vilkomir,0,,39
Vitanyi,0,,255
Viterbi,0,"Viterbi attended the Boston Latin School, and then entered Massachusetts Institute of Technology (MIT) in 1952, studying electrical engineering. He received both BS and MS in electrical engineering in 1957 from MIT. He was elected to membership in the honor society Eta Kappa Nu in 1956 through the MIT chapter.",52
Vitter,0,"Vitter was born and raised in New Orleans, Louisiana. He earned a Bachelor of Science in mathematics with highest honors from the University of Notre Dame in 1977, a Ph.D. in computer science from Stanford University under the supervision of Donald Knuth in 1980 and a master of business administration from Duke University in 2002.",307
Vixie,0,,35
Wada,0,,7
Wagner,0,,645
Waltz,2,"Waltz was born in Boston, Massachusetts in 1943. He attended the Massachusetts Institute of Technology (MIT) where, as a student of artificial intelligence pioneer Marvin Minsky, he was part of the MIT Artificial Intelligence Laboratory and received S.B. (1965), M.S. (1968) and Ph.D. (1972) degrees, all in Electrical Engineering.",62
Wang,2,"Wang received a summa cum laude bachelor's degree in mathematics and computer science from the University of Minnesota (advisor: Dennis Hejhal), an M.S. in mathematics and an M.S. in computer science, both from Stanford University, and a Ph.D. degree in medical information sciences from Stanford University's Biomedical Informatics and Database groups (advisor: Gio Wiederhold, committee members: Hector Garcia-Molina and Stephen T.C. Wong).","1,192"
Ward,0,,146
Warmuth,0,,241
Warren,0,,215
Warwick,5,,124
Weglarz,0,,73
Wadler,3,"Wadler received a Bachelor of Science degree in mathematics from Stanford University in 1977, and a Master of Science degree in computer science from Carnegie Mellon University in 1979.[6] He completed his Doctor of Philosophy in computer science at Carnegie Mellon University in 1984. His thesis was entitled ""Listlessness is better than laziness"" and was supervised by Nico Habermann.[7][8]",169
Wegner,3,"Wegner was educated at the University of Cambridge and received a Post-Graduate Diploma in Numerical Analysis and Automatic Computing in 1954, at a time when there were no PhD programs in computer science.[2] He was awarded a PhD from the University of London in 1968 for his book Programming Languages, Information Structures, and Machine Organization, with Maurice Wilkes listed as his supervisor.[10][1]",154
Wegstein,0,,12
Weinberger,0,,17
Weiser,0,,76
Weizenbaum,0,,24
Wheeler,0,"Wheeler was born in Birmingham, England, the second of the three children of (Agnes) Marjorie, née Gudgeon, and Arthur Wheeler, a press tool maker, engineer, and proprietor of a small shopfitting firm.[17] He was educated at a local primary school in Birmingham and then went on to King Edward VI Camp Hill School after winning a scholarship in 1938. His education was disrupted by World War II, and he completed his sixth form studies at Hanley High School.[17] In 1945 he gained a scholarship to study the Cambridge Mathematical Tripos at Trinity College, Cambridge, graduating in 1948.[18] He was awarded the world's first[19] PhD in computer science in 1951.[19][20]",213
Westervelt,0,,2
Whittaker,5,,208
Widom,0,Widom earned a BS degree in trumpet performance from the Indiana University Jacobs School of Music in 1982 and a PhD in computer science under David Gries from Cornell University in 1987.[3][4],219
Wiederhold,0,,207
Wiener,9,,34
Wijngaarden,0,,49
Wilkes,0,,2
Wilkes,0,,84
Wilks,19,,211
Wilkinson,5,"Born in Strood, England, he won a Foundation Scholarship to Sir Joseph Williamson's Mathematical School in Rochester.[6] He studied the Cambridge Mathematical Tripos at Trinity College, Cambridge, where he graduated as Senior Wrangler.[7]",47
Wilson,1,,18
Winograd,0,,40
Winograd,5,"Winograd grew up in Colorado and graduated from Colorado College in 1966. He wrote SHRDLU as a PhD thesis at MIT in the years from 1968–70. In making the program Winograd was concerned with the problem of providing a computer with sufficient ""understanding"" to be able to use natural language. Winograd built a blocks world, restricting the program's intellectual world to a simulated ""world of toy blocks"". The program could accept commands such as, ""Find a block which is taller than the one you are holding and put it into the box"" and carry out the requested action using a simulated block-moving  arm. The program could also respond verbally, for example, ""I do not know which block you mean."" The SHRDLU program can be viewed historically as one of the classic examples of how difficult it is for a programmer to build up a computer's semantic memory by hand and how limited or ""brittle"" such programs are.[4]",122
Winston,0,,61
Wirth,0,,115
Wiseman,0,,29
Wisnosky,0,,0
Wolfram,0,"Wolfram was educated at Eton College, but left prematurely in 1976.[15] As a young child, Wolfram had difficulties learning arithmetic.[16] He entered St. John's College, Oxford, at age 17 and left in 1978[17] without graduating[18][19] to attend the California Institute of Technology the following year, where he received a PhD[20] in particle physics in 1980.[21] Wolfram's thesis committee was composed of Richard Feynman, Peter Goldreich, Frank J. Sciulli and Steven Frautschi, and chaired by Richard D. Field.[21][22]",56
Woodger,0,,0
Woodward,0,,26
Worsley,5,,1
Wozniak,14,,13
Wu,0,,"7,065"
Wulf,0,,150
Yannakakis,1,,291
Yao,1,,179
Yen,0,,419
Yoneda,0,,1
Yourdon,0,,22
Yung,12,,748
Zadeh,17,,237
Zantema,0,,118
Zaman,0,,35
Zdonik,0,"Zdonik has received a number of non-honorary degrees during his career, all from MIT.[7]",194
